episode,timestep,reward,steps
371,6920,-0.5,50
372,6925,-1.04,5
373,6975,-0.5,50
374,6980,-1.04,5
375,6985,-1.04,5
376,6998,-1.12,13
377,7012,-1.13,14
378,7045,0.68,33
379,7095,-0.5,50
380,7132,-1.36,37
381,7143,-1.1,11
382,7155,-1.11,12
383,7205,-0.5,50
384,7255,-0.5,50
385,7273,-1.17,18
386,7282,-1.08,9
387,7332,-0.5,50
388,7382,-0.5,50
389,7401,-1.18,19
390,7409,-1.07,8
391,7448,0.62,39
392,7498,-0.5,50
393,7537,0.62,39
394,7579,-1.41,42
395,7600,-1.2,21
396,7650,-0.5,50
397,7700,-0.5,50
398,7750,-0.5,50
399,7800,-0.5,50
400,7821,-1.2,21
401,7871,-0.5,50
402,7921,-0.5,50
403,7971,-0.5,50
404,8021,-0.5,50
405,8070,-1.48,49
406,8118,0.53,48
407,8168,-0.5,50
408,8200,-1.31,32
409,8250,-0.5,50
410,8300,-0.5,50
411,8325,-1.24,25
412,8375,-0.5,50
413,8403,-1.27,28
414,8453,-0.5,50
415,8498,-1.44,45
416,8548,-0.5,50
417,8561,-1.12,13
418,8569,-1.07,8
419,8619,-0.5,50
420,8669,-0.5,50
421,8719,-0.5,50
422,8769,-0.5,50
423,8775,-1.05,6
424,8805,0.71,30
425,8855,-0.5,50
426,8879,-1.23,24
427,8929,-0.5,50
428,8979,-0.5,50
429,8989,-1.09,10
430,8992,-1.02,3
431,9042,-0.5,50
432,9092,-0.5,50
433,9110,-1.17,18
434,9116,-1.05,6
435,9160,-1.43,44
436,9210,-0.5,50
437,9260,-0.5,50
438,9274,-1.13,14
439,9324,-0.5,50
440,9374,-0.5,50
441,9424,-0.5,50
442,9474,-0.5,50
443,9524,-0.5,50
444,9574,-0.5,50
445,9624,-0.5,50
446,9674,-0.5,50
447,9677,-1.02,3
448,9727,-0.5,50
449,9777,-0.5,50
450,9827,-0.5,50
451,9852,-1.24,25
452,9902,-0.5,50
453,9952,-0.5,50
454,10002,-0.5,50
455,10035,0.68,33
456,10085,-0.5,50
457,10135,-0.5,50
458,10147,-1.11,12
459,10197,-0.5,50
460,10243,0.55,46
461,10293,-0.5,50
462,10313,0.81,20
463,10341,0.73,28
464,10363,-1.21,22
465,10402,-1.38,39
466,10411,0.92,9
467,10461,-0.5,50
468,10467,-1.05,6
469,10497,0.71,30
470,10520,0.78,23
471,10570,-0.5,50
472,10620,-0.5,50
473,10670,-0.5,50
474,10720,-0.5,50
475,10770,-0.5,50
476,10776,-1.05,6
477,10826,-0.5,50
478,10839,-1.12,13
479,10889,-0.5,50
480,10928,0.62,39
481,10973,0.56,45
482,11023,-0.5,50
483,11056,-1.32,33
484,11065,-1.08,9
485,11115,-0.5,50
486,11165,-0.5,50
487,11215,-0.5,50
488,11265,-0.5,50
489,11298,-1.32,33
490,11348,-0.5,50
491,11361,-1.12,13
492,11364,-1.02,3
493,11387,0.78,23
494,11437,-0.5,50
495,11476,-1.38,39
496,11526,-0.5,50
497,11576,-0.5,50
498,11626,-0.5,50
499,11676,-0.5,50
500,11714,-1.37,38
501,11764,-0.5,50
502,11814,-0.5,50
503,11864,-0.5,50
504,11914,-0.5,50
505,11964,-0.5,50
506,12014,-0.5,50
507,12064,-0.5,50
508,12114,-0.5,50
509,12164,-0.5,50
510,12214,-0.5,50
511,12261,0.54,47
512,12311,-0.5,50
513,12361,-0.5,50
514,12411,-0.5,50
515,12461,-0.5,50
516,12511,-1.49,50
517,12561,-0.5,50
518,12611,-0.5,50
519,12659,-1.47,48
520,12709,-0.5,50
521,12734,0.76,25
522,12742,0.93,8
523,12792,-0.5,50
524,12833,0.6,41
525,12842,-1.08,9
526,12892,-0.5,50
527,12916,0.77,24
528,12966,-0.5,50
529,12992,-1.25,26
530,13019,0.74,27
531,13069,-0.5,50
532,13119,-0.5,50
533,13159,0.61,40
534,13168,0.92,9
535,13218,-0.5,50
536,13268,-0.5,50
537,13318,-0.5,50
538,13368,-0.5,50
539,13417,-1.48,49
540,13467,-0.5,50
541,13517,-0.5,50
542,13554,0.64,37
543,13570,0.85,16
544,13620,-0.5,50
545,13652,0.69,32
546,13673,0.8,21
547,13723,-0.5,50
548,13773,-0.5,50
549,13781,0.93,8
550,13831,-0.5,50
551,13881,-0.5,50
552,13931,-0.5,50
553,13981,-0.5,50
554,14031,-0.5,50
555,14081,-0.5,50
556,14117,0.65,36
557,14167,-0.5,50
558,14176,0.92,9
559,14226,-0.5,50
560,14260,0.67,34
561,14310,-0.5,50
562,14344,0.67,34
563,14386,0.59,42
564,14428,0.59,42
